videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
F-j_bwA19EQ,105607,193,4188,24,2018-04-18T19:00:00.000Z,Dog And Baby Playing Hide And Seek | The Dodo,TheDodoSite,The Dodo,1430593
oeXKB7_1k-0,130423,415,5967,58,2018-04-05T23:00:05.000Z,Pit Bull Dog  Cats  and Rats Siblings Make the Perfect Family | The Dodo,TheDodoSite,The Dodo,1430593
hGJ_C8gDaXs,267119,693,11468,68,2018-04-09T20:00:05.000Z,Baby Pigeon Rescued by Couple In A Snowstorm | The Dodo,TheDodoSite,The Dodo,1430593
i38x4-AU20E,376982,945,13257,134,2018-04-14T13:00:08.000Z,Pit Bull Dog Takes The Best Care Of Her Human Brother | The Dodo Pittie Nation,TheDodoSite,The Dodo,1430593
Wrz52nTLRcU,118037,504,4956,41,2018-04-26T22:00:02.000Z,Rescue Cow Acts Like a Big Puppy - FINN the House Cow | The Dodo,TheDodoSite,The Dodo,1430593
gEMPLrWh35g,239379,1324,11822,202,2018-04-28T18:30:01.000Z,Adorable Spider Gives Dad High Fives | The Dodo,TheDodoSite,The Dodo,1430593
s7pJvNrn0N4,403411,619,13254,111,2018-03-30T19:00:05.000Z,Feisty Armadillo Is So Lucky This Woman Saved His Life | The Dodo,TheDodoSite,The Dodo,1430593
dVc67LhOCp8,177768,481,7586,74,2018-04-15T21:00:02.000Z,Sweet Dog Helps Mom Who Lost Her Leg at The Boston Marathon | The Dodo,TheDodoSite,The Dodo,1430593
HoFOFK09YTs,196707,437,7846,48,2018-04-14T19:00:01.000Z,Kitten Born Too Small Gets Extra Love From Mom | The Dodo,TheDodoSite,The Dodo,1430593
hVS4jxTUCGg,107125,201,4524,27,2018-04-23T13:00:03.000Z,Dog And Cat Help Raise Foster Kittens Together | The Dodo Odd Couples,TheDodoSite,The Dodo,1430593
5S1IMAHjC-8,71886,424,3561,39,2018-04-13T20:00:00.000Z,Former Dolphin Hunter Devotes His Life To Saving Dolphins | The Dodo,TheDodoSite,The Dodo,1430593
M0Ca4LmL8y4,238382,471,6622,50,2018-04-05T18:30:00.000Z,Baby Rhino Protects Mother and Supervises Her Care | The Dodo,TheDodoSite,The Dodo,1430593
vh-GKDtO2LI,340637,904,12513,107,2018-04-01T13:00:04.000Z,Abandoned Bulldog Teaches Himself How To Walk | The Dodo Comeback Kids S02E02,TheDodoSite,The Dodo,1430593
pH20JNqI94w,56855,291,2587,36,2018-04-12T19:30:01.000Z,Dog Goes Crazy For Meal Time - Turns into a DOGNADO | The Dodo,TheDodoSite,The Dodo,1430593
de35k3po36M,115024,234,5620,30,2018-04-25T22:30:01.000Z,Cat Learns To Open Door To Meet New Foster Kittens - POKEY | The Dodo,TheDodoSite,The Dodo,1430593
IOzeLDnBnTM,43086,135,2411,24,2018-04-25T18:30:01.000Z,Dogs Use Woman As A Stepping Stool | The Dodo,TheDodoSite,The Dodo,1430593
h3Off9_-mfI,141337,246,5442,60,2018-04-02T22:00:04.000Z,Rescue Dog High Fives Runners at NYC Marathon | The Dodo,TheDodoSite,The Dodo,1430593
pPmNrovsdqk,156380,403,6940,60,2018-04-06T19:00:03.000Z,Adventure Puppy Helps Rescuer Heal After Losing His Best Friend | The Dodo,TheDodoSite,The Dodo,1430593
ewaBrhOJo8g,20839,100,1507,26,2018-04-30T18:11:55.000Z,LIVE: Rescue Baby Owl Feeding WildCare | The Dodo LIVE,TheDodoSite,The Dodo,1430593
8PcV0-rq1SM,188417,294,7958,46,2018-04-18T13:00:00.000Z,Tiniest Orphan Puppy Rescues Depressed Mama Dog - RAISIN | The Dodo Little But Fierce,TheDodoSite,The Dodo,1430593
ehdRH8DsuBo,93930,211,3325,39,2018-04-20T13:00:04.000Z,Dog Jumps With Animals On TV + Funny & Cute Videos April 2018 | The Dodo Best Of,TheDodoSite,The Dodo,1430593
M5UTLXfDvuI,19571,102,1450,23,2018-04-04T20:17:37.000Z,LIVE: Adoptable Dog in NYC Looking for Forever Home | The Dodo,TheDodoSite,The Dodo,1430593
oT-KdO22JGs,116628,231,4344,37,2018-04-16T13:00:03.000Z,Baby Rhino Grows Up With Goat Best Friend | The Dodo Odd Couples,TheDodoSite,The Dodo,1430593
Blbf2oCMU6I,37978,221,2085,44,2018-04-09T18:27:26.000Z,Horse Giving Birth | The Dodo Live*,TheDodoSite,The Dodo,1430593
Yz9F-ng14m8,115195,334,4430,61,2018-04-16T18:00:03.000Z,Great Dane Dog REALLY Wants Dad's Sandwich | The Dodo,TheDodoSite,The Dodo,1430593
SY2TsryE3bQ,51210,137,2334,12,2018-04-24T13:00:04.000Z,Pug LOVES To Swim + Other Pets Who Love Splashing Around | The Dodo Top 5,TheDodoSite,The Dodo,1430593
XUBRkPvq3DU,41120,227,2279,47,2018-04-23T18:30:02.000Z,Bearded Dragon Just Wants to Help Mom With Her Work | The Dodo,TheDodoSite,The Dodo,1430593
-LX0wj2NAAk,132794,611,5116,54,2018-04-10T23:00:00.000Z,Dog Looks Different But His Family Wouldn't Change A Thing | The Dodo,TheDodoSite,The Dodo,1430593
YQZ2ZDmd3Mo,53609,124,2179,23,2018-04-30T13:00:08.000Z,Massive Dog Adopts Special Needs Goat - SAMMY & CHANCE | The Dodo Odd Couples,TheDodoSite,The Dodo,1430593
Ps6xRFJ5c00,205730,386,7581,35,2018-04-07T19:30:00.000Z,Puppy Brings Chaos to Senior Dog Retirement Home | The Dodo,TheDodoSite,The Dodo,1430593
XgRM-FQjC34,67768,412,3323,66,2018-03-28T18:00:01.000Z,Hairless Cat Is THE DARK LORD Of His Household | The Dodo,TheDodoSite,The Dodo,1430593
h_jwj0dUWNQ,52132,211,1977,14,2018-03-30T13:00:07.000Z,AMAZING Ocean Encounters | The Dodo Best Of,TheDodoSite,The Dodo,1430593
sjyLCXXvuWA,95927,381,3996,36,2018-04-11T19:00:07.000Z,Girl With Autism Is A Chicken Whisperer | The Dodo,TheDodoSite,The Dodo,1430593
AHirlosepIk,16614,116,1128,23,2018-04-02T18:42:12.000Z,LIVE: Rescue Cougar Feeding at Big Cat Rescue | The Dodo,TheDodoSite,The Dodo,1430593
hK_jYzGboU4,133458,456,5553,36,2018-04-10T17:30:00.000Z,Funny Kitten Eats Inside Dinner Bowl | The Dodo,TheDodoSite,The Dodo,1430593
xb4uHmNofpo,21588,108,1207,20,2018-04-18T01:50:03.000Z,LIVE: Rescue Bats From Australia for National Bat Appreciation Day | The Dodo LIVE,TheDodoSite,The Dodo,1430593
kFdaV9qju9Q,338252,643,12249,81,2018-04-09T13:00:26.000Z,Pit Bull Dog Wins Over Her Guinea Pig Sisters | The Dodo Odd Couples,TheDodoSite,The Dodo,1430593
UklNjI3jRqA,217282,613,8504,50,2018-03-28T23:30:01.000Z,Rescued Duck Sisters Get Their Own Little House | The Dodo,TheDodoSite,The Dodo,1430593
xX66kG8QOcw,137295,512,6812,31,2018-04-21T13:00:04.000Z,Rescued Pit Bull Puppy Runs For The First Time - CANTU | The Dodo Pittie Nation,TheDodoSite,The Dodo,1430593
l_vZ_Eq03qw,13274,100,1217,12,2018-04-19T20:58:39.000Z,LIVE: Adoptable Three Legged Puppy Playing in New York City - HOPPY | The Dodo LIVE,TheDodoSite,The Dodo,1430593
y4vhIRx_nsw,262901,967,10722,134,2018-03-31T13:00:14.000Z,Pit Bull Dog's Mom Has The Best Reaction To Discrimination | The Dodo,TheDodoSite,The Dodo,1430593
VpnandCVKXU,372570,1147,17096,119,2018-04-15T13:00:01.000Z,Frozen Kitten Brought Back To Life by Family UPDATE | The Dodo Comeback Kids S02E04,TheDodoSite,The Dodo,1430593
_U98y74U8w8,293925,760,10092,135,2018-03-28T13:00:04.000Z,Rescue Greyhound Is The Cutest Little Diva | The Dodo,TheDodoSite,The Dodo,1430593
VhhDoagKk8M,129995,442,5997,37,2018-04-24T18:30:00.000Z,Cow Loves Getting Hair Brushed By Dad | The Dodo,TheDodoSite,The Dodo,1430593
dsSHRIM_J8g,406273,1195,23592,140,2018-04-23T22:00:03.000Z,Special Cat Turns Guy Who Hated Cat into The Ultimate Cat Dad - SCOOTER | The Dodo,TheDodoSite,The Dodo,1430593
7nUcHAtWorU,25601,158,1639,22,2018-04-25T15:08:43.000Z,LIVE: Adoptable Pit Bull Puppy With Cleft Palate Visits The Dodo,TheDodoSite,The Dodo,1430593
QcdrRkz8T14,142382,242,5899,36,2018-04-19T13:00:01.000Z,Woman's Vacation Turns Into A Dog Rescue Mission - RUMBA | The Dodo,TheDodoSite,The Dodo,1430593
KV1iK8deCLc,217852,462,9758,48,2018-04-13T00:00:01.000Z,T Rex Kitten Finds The Best Dad Ever | The Dodo,TheDodoSite,The Dodo,1430593
abcOw2lHorI,203764,842,12260,87,2018-04-25T13:00:02.000Z,Rescue Squirrel Without Arms Makes Her Dad So Proud | The Dodo Little But Fierce,TheDodoSite,The Dodo,1430593
UoKWVBr_1CU,180913,299,5809,57,2018-04-13T13:00:03.000Z,Independent Dogs That Don't Need Hoomans | The Dodo Best Of,TheDodoSite,The Dodo,1430593
j2NjJzZsARM,48719,94,1995,7,2018-04-10T13:00:04.000Z,Rocket Dog Rescues People Buried In Avalanches + Dogs With Important Jobs | The Dodo Top 5,TheDodoSite,The Dodo,1430593
CZRGH8TRDJY,70518,205,3974,21,2018-04-20T21:00:00.000Z,Stray Feral Cat Becomes An Adventure Cat - TUNA | The Dodo,TheDodoSite,The Dodo,1430593
uAP3DRT67Ws,91143,293,5545,26,2018-04-19T18:30:00.000Z,Pit Bull Puppy Falls Asleep To Dad's Voice | The Dodo,TheDodoSite,The Dodo,1430593
sS2GyrvpjJk,6102,46,502,7,2018-05-01T15:32:28.000Z,Live: Guide Dog Puppy in Training Visits The Dodo Office - SUNNY | The Dodo,TheDodoSite,The Dodo,1430593
tNt9L2bqlJc,177636,640,9190,48,2018-04-16T22:30:00.000Z,Sick Puppy Makes Incredible Comeback - LIBRE | The Dodo,TheDodoSite,The Dodo,1430593
C3oe-u_HUnU,41832,108,1156,41,2018-04-11T20:54:33.000Z,LIVE: Newborn Foal and Mother Horse Update | The Dodo,TheDodoSite,The Dodo,1430593
okZIMfcqnj4,33006,446,2227,18,2018-04-21T22:00:00.000Z,Plastic Is Taking Over The Ocean | The Dodo Earth Day 2018,TheDodoSite,The Dodo,1430593
xM8SV9jOYEQ,12830,66,730,15,2018-04-03T16:00:08.000Z,LIVE: Puppy Guide Dog in Training Visits The Dodo,TheDodoSite,The Dodo,1430593
qcBeQF6zB9I,740814,2408,29990,250,2018-04-22T13:00:07.000Z,Mini Dwarf Pony Who Could Barely Walk Finally Gets To Run | The Dodo Comeback Kids S02E05,TheDodoSite,The Dodo,1430593
93B4IDoLzI4,105709,383,4920,39,2018-04-18T23:00:02.000Z,Pit Bull Dog Born Without Front Legs Makes His New Family So Happy - COLE | The Dodo,TheDodoSite,The Dodo,1430593
rN7MGQelH-Q,84505,202,3189,21,2018-03-27T13:00:05.000Z,Bunny Uses Cute Little Wheelchair To Hop Around + Brave & Beautiful Bunnies | The Dodo Top 5,TheDodoSite,The Dodo,1430593
GpUuL5v3fnw,56297,168,2392,25,2018-04-27T18:30:01.000Z,Dogs Who Are Afraid Of Cats Compilation | The Dodo,TheDodoSite,The Dodo,1430593
2KOQinwAzb4,81461,185,3553,25,2018-04-17T13:00:00.000Z,Adventure Cats Who Were Once Strays Have The Best Moms Now + Other Cat Rescues | The Dodo Top 5,TheDodoSite,The Dodo,1430593
t6l_pEffuik,210729,341,6994,61,2018-04-02T13:00:08.000Z,Dog Rescues Baby Squirrel And Makes Him His Brother | The Dodo Odd Couples,TheDodoSite,The Dodo,1430593
TpgnQcrlZAY,63360,278,4226,26,2018-04-14T02:00:02.000Z,Animal Heroes That Would Do Anything To Save One More Life | Dodo Heroes,TheDodoSite,The Dodo,1430593
