videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
cr0eK8-SQzo,2584328,15608,137584,2494,2015-10-07T18:34:33.000Z,5 Easy Fall Room Decorations! | Bethany Mota,Macbarbie07,Bethany Mota,10523043
QfdymAjXPRg,1507086,6958,88675,1102,2017-07-29T20:54:30.000Z,5 EASY GO-TO OUTFITS FOR SCHOOL | Back To School 2017!,Macbarbie07,Bethany Mota,10523043
SVIFDAht0RU,4032980,9196,142235,3265,2015-09-14T21:15:01.000Z,Cute and Comfy Outfits for School! + DIY's,Macbarbie07,Bethany Mota,10523043
B4sGI8xK9oI,3923271,14666,216189,5337,2015-08-06T20:59:56.000Z,Back To School: 5 Cute + Easy DIY School Supplies + Road Trip Update!,Macbarbie07,Bethany Mota,10523043
SY9g_g6dXog,1290355,4647,56155,991,2017-09-03T22:56:50.000Z,DIY Challenge: Fall Edition Feat. Niki & Gabi!,Macbarbie07,Bethany Mota,10523043
sm67aCanB3o,1030021,2963,52033,1308,2017-02-12T23:43:05.000Z,TESTING weird DIY's | V-DAY Edition!,Macbarbie07,Bethany Mota,10523043
UnsfjZ3_RPU,2148491,15501,145189,4194,2016-07-21T23:58:47.000Z,Expectations VS. Reality | Summer Gone Wrong!,Macbarbie07,Bethany Mota,10523043
_6uvQtccJss,1637520,49267,82496,1424,2017-11-25T18:55:42.000Z,BLACK FRIDAY HAUL 2017 + TRY ON | Bethany Mota,Macbarbie07,Bethany Mota,10523043
y6PC0HSacRk,7760984,32799,318912,6397,2015-06-13T07:42:50.000Z,Morning Routine: Summer 2015 | Bethany Mota,Macbarbie07,Bethany Mota,10523043
EskhEQWMpX4,3104729,18736,156757,4508,2016-08-06T18:00:00.000Z,My Morning Routine | Back To School,Macbarbie07,Bethany Mota,10523043
udHjzcAUVu0,5363989,20945,237225,3559,2014-12-31T06:23:19.000Z,Throw a DIY Party! Quick Treats  Party favors + Outfits!,Macbarbie07,Bethany Mota,10523043
d5Ma81TI_Ok,4070382,16297,199909,3499,2014-04-05T04:33:39.000Z,Getting Ready: Theme Park Makeup & Outfits!,Macbarbie07,Bethany Mota,10523043
QMSzCgrEKN8,4055666,18408,180224,2979,2015-01-28T07:11:52.000Z,4 Healthy Treats for Valentine's Day!,Macbarbie07,Bethany Mota,10523043
d8vRWeQcSWI,3986250,22795,186582,7231,2016-04-28T17:38:04.000Z,5 REAL WAYS TO BE HEALTHY! | Bethany Mota,Macbarbie07,Bethany Mota,10523043
cE_Ql022hVo,1289490,31407,83205,4383,2016-09-25T19:13:17.000Z,My Snapchat Date w/ Ryan Potter,Macbarbie07,Bethany Mota,10523043
eVCtFSfgMs8,4290916,15899,176233,5397,2015-12-16T21:58:17.000Z,Then vs Now: Christmas!| Bethany Mota,Macbarbie07,Bethany Mota,10523043
cFL4UMZc3Rw,1394697,4195,82378,721,2017-04-23T02:31:32.000Z,YOUR FRIEND VS YOUR BEST FRIEND,Macbarbie07,Bethany Mota,10523043
