videoId,views,comments,likes,dislikes,dateUploaded,videoTitle,channelId,channelName,subscribers
stMM0EsoGwY,1253485,7759,61642,2411,2017-12-13T00:28:00.000Z,HOLIDAY GIFT GUIDE 2017 | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
xPNiidMfSHk,1263061,7103,43934,965,2016-04-03T19:53:08.000Z,MARCH FAVORITES | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
PUEmukKTDCI,2038246,12267,86832,2358,2017-02-17T01:04:52.000Z,HUGE SEPHORA HAUL | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
w7ytaPmUb_g,1103529,9271,52322,598,2015-12-29T01:10:57.000Z,December Favorites | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
SnzVkVe0jcs,1966402,5652,70176,1572,2017-02-08T02:00:25.000Z,Valentine's Makeup Tutorial - Soft & Flirty Smokey Eye,Jaclynhill1,Jaclyn Hill,5072258
RhqDto609P8,2200779,5995,87210,2727,2017-03-05T20:35:34.000Z,FULL FACE OF FIRST IMPRESSIONS MAKEUP TUTORIAL | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
PJWB4qsmHXQ,NA,NA,NA,NA,NA,BEST OF BEAUTY 2016 | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
YgB8AA_HTrA,1180221,7211,48915,596,2016-02-06T00:29:56.000Z,CHATTY MAKEUP HAUL,Jaclynhill1,Jaclyn Hill,5072258
vWAsq-zJMJY,1739358,11746,74131,2063,2016-06-22T03:18:18.000Z,Highlighted & Bronzed - Minimal Makeup Tutorial,Jaclynhill1,Jaclyn Hill,5072258
XV9ttnZ4Apg,2226372,15571,142942,4788,2017-07-17T23:23:04.000Z,GRWM - Chit Chat | Filming with Kim | New House | Q&A,Jaclynhill1,Jaclyn Hill,5072258
eyzJJGbxXUI,1578546,10140,94600,1500,2017-04-06T01:06:05.000Z,Turquoise Purple & Gold Smokey Eye | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
vUclcB9XFDk,2084741,7733,83282,914,2016-01-18T03:15:56.000Z,NO MIRROR MAKEUP CHALLENGE | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
5IzqnERjFPc,1194806,17087,96963,3768,2016-09-05T21:32:35.000Z,BACK TO SCHOOL LOOKBOOK  | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
c6fTe7t3WPU,1343531,4311,72103,1490,2018-03-12T20:17:37.000Z,How To Glam QUICK | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
nGLAD0y4pyQ,2772009,8243,85168,2628,2016-07-03T23:56:54.000Z,FULL FACE HIGHLIGHTER CHALLENGE | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
g-_Ugj1OCz0,1286614,6114,54407,1013,2016-03-20T18:07:50.000Z,Brown Glitter Smokey Eye & Brown Lips Tutorial | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
rtG2Y0G-a8g,1179554,11757,67546,1278,2016-05-21T01:19:10.000Z,CHAMPAGNE COLLECTION CELEBRATION - NYC VLOG,Jaclynhill1,Jaclyn Hill,5072258
5yLaAsesumY,1310679,7098,49620,721,2016-02-23T01:10:00.000Z,My Favorite Single Eyeshadows | My Custom Z Palette,Jaclynhill1,Jaclyn Hill,5072258
hLC-SfgfHbk,1322120,6734,47626,726,2015-10-20T23:53:39.000Z,SEPHORA MAKEUP HAUL,Jaclynhill1,Jaclyn Hill,5072258
7YyPXodAF7E,1152556,4743,55772,670,2016-02-13T18:51:48.000Z,Valentines Day Makeup look | Girly Glitter Glam,Jaclynhill1,Jaclyn Hill,5072258
_Y2VtbNTGhs,979279,8649,63101,1248,2016-10-20T00:41:45.000Z,Cruella de Vil Makeup Tutorial | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
XvH2ukztRzs,6537986,14206,177364,3147,2016-05-16T00:15:38.000Z,How To - Contour | Blush | Highlight & Bake The Face,Jaclynhill1,Jaclyn Hill,5072258
miIr7NmKA0g,2041070,20823,106206,2429,2016-12-01T01:01:39.000Z,Life Update + Chit Chat + New Makeup,Jaclynhill1,Jaclyn Hill,5072258
WCyF4B9ntSQ,1685797,8601,63241,865,2016-01-13T02:19:24.000Z,Best Of Beauty 2015 | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
tifRNT4afbg,1737029,34129,149481,2614,2015-12-20T23:10:55.000Z,Trying To Make A Change | Late Night Thoughts,Jaclynhill1,Jaclyn Hill,5072258
MG-2MhZya74,1317368,11619,57524,1420,2016-08-09T00:12:40.000Z,Get Ready With Me - Sunset Eyes & Bold lips,Jaclynhill1,Jaclyn Hill,5072258
bXBAmbnsWQc,1359187,6732,68717,2201,2017-12-21T00:20:59.000Z,Extra AF Festive Holiday Glam  | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
uB_Kx6T3wq4,1340192,5501,58106,2254,2017-10-12T23:01:32.000Z,Rose Gold & Purple Smokey Eye | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
OtMWweAoJ6E,1425422,7529,62110,609,2015-12-24T17:27:16.000Z,Easy Glam Holiday Makeup - Talk Through Tutorial,Jaclynhill1,Jaclyn Hill,5072258
_QNFwSV_8-w,1318275,9329,79969,1453,2016-03-01T02:27:12.000Z,Classic Smokey Eye Tutorial On My Friend | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
fmAeK3mNJMg,1242430,5820,46382,904,2016-09-14T23:38:16.000Z,AUGUST BEAUTY FAVORITES | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
Bo_9aH7_KOM,2319099,9693,65108,840,2015-11-19T00:34:02.000Z,My Go To Daytime Glam Makeup Look | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
__7KZwQ0JlY,2116026,11856,124392,2398,2016-05-06T00:57:33.000Z,WHATS IN MY MOUTH CHALLENGE WITH MY HUSBAND,Jaclynhill1,Jaclyn Hill,5072258
P7FJPmZCCpk,2706876,12499,116266,6960,2017-11-20T01:55:40.000Z,TRUTH OR DARE feat: MannyMua & Laura Lee,Jaclynhill1,Jaclyn Hill,5072258
cynvzdJ9knw,1529873,7031,55717,1263,2016-02-18T00:11:08.000Z,Everyday Easy Glam - No False Lashes,Jaclynhill1,Jaclyn Hill,5072258
i7D9uvC06Mw,NA,NA,NA,NA,NA,Classic Silver Neutral Smokey Eye | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
B6rE3uA56pk,881423,5053,43130,1275,2015-12-18T21:51:20.000Z,White & silver soft cut crease | Holiday Tutorial,Jaclynhill1,Jaclyn Hill,5072258
goFR_oeTw2U,2780076,6278,68332,1125,2015-11-02T01:28:18.000Z,In Depth Foundation Routine | Flawless Full Coverage,Jaclynhill1,Jaclyn Hill,5072258
E21eL9W7fVg,1870649,8181,101612,2112,2018-01-23T00:33:26.000Z,My Radiant Glow Foundation Routine | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
5-T9wwNjsCI,1300393,8672,74725,965,2016-10-04T23:31:21.000Z,Chit Chat Get Ready With Me - Fall Vibes | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
a271Po9lZ4w,1617946,7454,48169,2297,2015-11-12T23:36:25.000Z,Skincare Routine 2015 | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
IlMcf3x_2tQ,1205872,5789,44728,1009,2016-12-16T01:36:47.000Z,NOVEMBER FAVORITES | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
4LZXQQNUATw,4340297,10995,157759,3399,2017-01-16T00:29:26.000Z,How To: Easy Smokey cat Eye | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
ouJwpthMfkY,1601062,8329,70898,2508,2017-09-24T21:01:25.000Z,Drugstore/Affordable Fall Makeup Tutorial | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
LBZLmyD3KS0,1198501,6633,59586,1287,2016-12-09T22:47:22.000Z,Copper Red Smokey Eye With Gold Glitter Tears | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
k7BP89buZ6I,1278281,5531,44144,1781,2016-11-04T00:24:23.000Z,OCTOBER FAVORITES | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
gyrMtqKYz0Y,3232421,30503,156561,5018,2017-06-15T23:47:16.000Z,THE JACLYN HILL X MORPHE PALETTE REVEAL + SWATCHES,Jaclynhill1,Jaclyn Hill,5072258
6C08upOMKak,2645165,16767,79475,2536,2016-08-17T00:48:57.000Z,The Ride Or Die Makeup Tag | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
mTHLyCqtLJE,1550842,7195,64765,1748,2018-01-13T22:14:06.000Z,BEST OF BEAUTY 2017 | Jaclyn Hill,Jaclynhill1,Jaclyn Hill,5072258
